"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI TIC Scan Frag=125.0V WorklistData-0005.d "
"No integration results available"
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI TIC Scan Frag=125.0V WorklistData-0005.d "
"No integration results available"
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI BPC Scan Frag=125.0V WorklistData-0005.d "
"No integration results available"
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(319.8662) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"5" ,24.391,24.490,24.507,2026,4140,0.29,0.57,0.28,0.116,,0,530,0,0,,2026,,,BV,449.2500,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(465.6025) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,22.576,22.738,23.088,468391,2950254,21.08,27.72,17.38,0.512,,0,505,0,0,,468391,,,BV,465.6015,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,23.220,23.289,23.401,3847,18140,0.13,0.23,0.11,0.182,,949,1297,949,949,,4796,,,BV,535.9471,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,23.401,23.537,23.962,1689774,13996280,100.00,100.00,82.47,0.561,,1297,4908,1297,1297,,1691071,,,BV,465.6015,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,25.381,25.398,25.546,818,3394,0.02,0.05,0.02,0.165,,150,168,150,150,,968,,,BV,633.8457,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"5" ,31.123,31.172,31.205,864,2388,0.02,0.05,0.01,0.083,,170,722,170,170,,1034,,,BV,762.3853,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(520.2984) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,14.260,14.366,14.574,22144,81529,78.42,98.91,39.28,0.313,,0,0,0,0,,22144,,,BB,472.0361,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"2" ,16.488,16.593,16.801,22388,103961,100.00,100.00,50.09,0.314,,0,0,0,0,,22388,,,BB,519.2441,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"3" ,18.352,18.408,18.534,1321,5038,4.85,5.90,2.43,0.181,,0,0,0,0,,1321,,,BB,668.3591,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"4" ,23.368,23.494,23.616,2088,9431,9.07,9.33,4.54,0.247,,0,75,0,0,,2088,,,BV,465.6015,,,,,,,,,,,,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"5" ,55.278,55.394,55.460,1948,7578,7.29,8.70,3.65,0.181,,73,115,73,73,,2021,,,BV,338.3371,,,,,,,,,,,,

"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d"," +ESI EIC(529.3037) Scan Frag=125.0V WorklistData-0005.d "
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\GmP Projects\2025-ATS-437\Data\20250916\WorklistData-0005.d" ,"1" ,12.940,13.020,13.188,9922,36179,92.67,100.00,44.76,0.247,,0,0,0,0,,9922,,,BB,324.1955,,,,,,,,,,,,
